title,author,publisher,publication_date,original_price,sale_price,sale_index,review_count,rating,image_url,book_url
밑바닥부터 시작하는 딥러닝 2,사이토 고키/개앞맵시 역,한빛미디어,2019년 05월,29000,26100,4887,45,9.9,https://image.yes24.com/goods/72173703/L,https://www.yes24.com/product/goods/72173703
리더는 AI에게 질문하지 않는다,김희연,북피움,2026년 01월,23000,20700,2115,0,0.0,https://image.yes24.com/goods/168871803/L,https://www.yes24.com/product/goods/168871803
요즘 우아한 AI 개발,우아한형제들,골든래빗,2025년 04월,24000,21600,9900,14,9.7,https://image.yes24.com/goods/143753715/L,https://www.yes24.com/product/goods/143753715
나노바나나로 AI툰 제작하기,김한재,비엘북스,2026년 02월,32000,28800,1101,2,10.0,https://image.yes24.com/goods/177114666/L,https://www.yes24.com/product/goods/177114666
한 권으로 끝내는 실전 LLM 파인튜닝,강다솔,위키북스,2026년 02월,32000,28800,684,0,0.0,https://image.yes24.com/goods/176913080/L,https://www.yes24.com/product/goods/176913080
소프트웨어 아키텍처 The Basics,"마크 리처즈, 닐 포드/류광, 307번역랩 역",한빛미디어,2025년 11월,43000,38700,1614,15,9.9,https://image.yes24.com/goods/167431026/L,https://www.yes24.com/product/goods/167431026
벡터 데이터베이스 설계와 구축,송한림,아이리포,2025년 03월,17800,16020,5319,6,9.7,https://image.yes24.com/goods/142771026/L,https://www.yes24.com/product/goods/142771026
AI 영화 제작,"민지영, 문수민, 전은재, 앤미디어",길벗,2024년 11월,27000,24300,5238,84,9.7,https://image.yes24.com/goods/136304038/L,https://www.yes24.com/product/goods/136304038
팔리는 블로그 & SNS 글쓰기 with 챗GPT,홍순성,한빛미디어,2025년 12월,25000,22500,1848,12,10.0,https://image.yes24.com/goods/167694445/L,https://www.yes24.com/product/goods/167694445
무조건 도움되는 유아교사 업무경감,"김나영, 남동윤, 이영은, 장효정, 최지이 외 1명
                                        
정보 더 보기/감추기



김나영
남동윤
이영은
장효정
최지이
황경미",교육과실천,2026년 01월,25500,22950,1968,7,10.0,https://image.yes24.com/goods/174197933/L,https://www.yes24.com/product/goods/174197933
금융업 AI 플레이북,"임태중, 김동석",경향비피,2026년 01월,25000,22500,1233,0,0.0,https://image.yes24.com/goods/175301361/L,https://www.yes24.com/product/goods/175301361
요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,박현규,골든래빗,2025년 12월,24000,21600,2574,4,10.0,https://image.yes24.com/goods/167428992/L,https://www.yes24.com/product/goods/167428992
출근길에 읽고 퇴근길에 완성하는 바이브 코딩,노승헌,더 타이즈,2026년 02월,22000,19800,942,0,0.0,https://image.yes24.com/goods/175226781/L,https://www.yes24.com/product/goods/175226781
Do it! 커서로 시작하는 AI 코딩 입문,고경희,이지스퍼블리싱,2025년 09월,23000,20700,4212,18,9.9,https://image.yes24.com/goods/154286556/L,https://www.yes24.com/product/goods/154286556
AI 자율학습 밑바닥부터 배우는 AI 에이전트,다비드스튜디오,길벗,2025년 12월,24000,21600,1779,17,9.5,https://image.yes24.com/goods/167584729/L,https://www.yes24.com/product/goods/167584729
"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)","지미정, 오한나, 노명호, 권의선, 김영수 외 4명
                                        
정보 더 보기/감추기



지미정
오한나
노명호
권의선
김영수
이진원
장희영
소민영
조보현",앤써북,2024년 09월,21000,18900,17721,18,9.9,https://image.yes24.com/goods/130156178/L,https://www.yes24.com/product/goods/130156178
프롬프트를 만드는 프롬프트 GPTs & Gems,"민진홍, 국난아, 김진수",성안당,2025년 12월,27000,24300,2316,43,10.0,https://image.yes24.com/goods/169672758/L,https://www.yes24.com/product/goods/169672758
이게 되네? 업무 자동화 미친 활용 앱스 스크립트 with 챗GPT,서휘승,골든래빗,2024년 11월,32000,28800,3480,3,10.0,https://image.yes24.com/goods/135722461/L,https://www.yes24.com/product/goods/135722461
AI 영상 제작,"민지영, 문수민, 전은재, 앤미디어",길벗,2024년 06월,25000,22500,9792,94,9.7,https://image.yes24.com/goods/127102247/L,https://www.yes24.com/product/goods/127102247
"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성",김동학,골든래빗,2026년 01월,28000,25200,1974,5,10.0,https://image.yes24.com/goods/168451090/L,https://www.yes24.com/product/goods/168451090
교실로 온 ON 제미나이,"박찬, 김병석, 전수연, 구현희, 김지용 외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
구현희
김지용
전채원
홍찬우
임채원",다빈치books,2026년 03월,22000,19800,300,10,10.0,https://image.yes24.com/goods/177808924/L,https://www.yes24.com/product/goods/177808924
혁펜하임의 Easy! 딥러닝,혁펜하임,북엔드,2024년 11월,35000,31500,5136,31,9.9,https://image.yes24.com/goods/139734696/L,https://www.yes24.com/product/goods/139734696
LUVIT♥ 파이썬으로 만드는 초경량 한국어 LLM 챗봇,"김규석, 서예진, 정태양",제이펍,2026년 01월,28000,25200,1560,1,10.0,https://image.yes24.com/goods/170374556/L,https://www.yes24.com/product/goods/170374556
테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,이경록,리코멘드,2025년 05월,34000,30600,7296,1,10.0,https://image.yes24.com/goods/146874665/L,https://www.yes24.com/product/goods/146874665
AI 로봇 구조 교과서,유승남,보누스,2026년 01월,23000,20700,1392,15,10.0,https://image.yes24.com/goods/172059324/L,https://www.yes24.com/product/goods/172059324
밑바닥부터 시작하는 딥러닝 5,사이토 고키/개앞맵시 역,한빛미디어,2024년 10월,33000,29700,3444,20,9.7,https://image.yes24.com/goods/134648807/L,https://www.yes24.com/product/goods/134648807
소라 2 AI,"박범희, 앤미디어",생능북스,2026년 02월,25000,22500,840,13,10.0,https://image.yes24.com/goods/175460151/L,https://www.yes24.com/product/goods/175460151
AI 자율학습  커서ⅹAI로 완성하는 나만의 웹 서비스,성구(강성규),길벗,2025년 12월,24000,21600,2298,23,9.9,https://image.yes24.com/goods/167584726/L,https://www.yes24.com/product/goods/167584726
AI 지도책,케이트 크로퍼드/노승영 역,소소의책,2022년 11월,21000,18900,1818,60,9.5,https://image.yes24.com/goods/115782215/L,https://www.yes24.com/product/goods/115782215
김변호사의 스마트한 AI 활용법 2,김변호사 팀 편,박영사,2026년 01월,24000,24000,930,2,10.0,https://image.yes24.com/goods/168261519/L,https://www.yes24.com/product/goods/168261519
일반통계학,서울대학교 자연과학대학 통계학과,한빛아카데미,2025년 03월,35000,35000,2622,0,0.0,https://image.yes24.com/goods/143081338/L,https://www.yes24.com/product/goods/143081338
밑바닥부터 시작하는 딥러닝 4,사이토 고키/개앞맵시 역,한빛미디어,2024년 01월,30000,27000,3594,13,9.8,https://image.yes24.com/goods/124640233/L,https://www.yes24.com/product/goods/124640233
AI로 완성하는 고수익 유튜브 운영 비법,현승효(디스이즈머니),시대인,2026년 01월,18000,16200,756,2,10.0,https://image.yes24.com/goods/174682706/L,https://www.yes24.com/product/goods/174682706
챗GPT와 함께 하는 SNS 셀프마케팅 & 브랜딩,이보영,휴먼하우스,2025년 11월,21000,18900,1914,1,10.0,https://image.yes24.com/goods/164773674/L,https://www.yes24.com/product/goods/164773674
"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!","임우균, 서지원",앤써북,2026년 02월,16800,15120,816,9,10.0,https://image.yes24.com/goods/176901915/L,https://www.yes24.com/product/goods/176901915
나는 오렌지3로 인공지능한다,"장병철, 서미란, 박지훈, 정종호",씨마스,2025년 12월,23000,20700,2604,30,9.9,https://image.yes24.com/goods/167452848/L,https://www.yes24.com/product/goods/167452848
네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make,조영빈,디지털북스,2025년 04월,20000,18000,5442,10,9.8,https://image.yes24.com/goods/145343581/L,https://www.yes24.com/product/goods/145343581
"AI로 차트, 그래프, 인포그래픽 한 번에 끝내기",이현,천그루숲,2026년 01월,18000,16200,972,5,10.0,https://image.yes24.com/goods/175523653/L,https://www.yes24.com/product/goods/175523653
러닝 랭체인,"메이오 오신, 누노 캄포스/강민혁 역",한빛미디어,2025년 05월,28000,25200,4152,26,9.5,https://image.yes24.com/goods/146327472/L,https://www.yes24.com/product/goods/146327472
된다! 하루 만에 만드는 AI 사진 & 이미지,김원석,이지스퍼블리싱,2025년 08월,17800,16020,4062,40,10.0,https://image.yes24.com/goods/151780100/L,https://www.yes24.com/product/goods/151780100
AI 프로덕트 기획과 운영,"마릴리 니카/오성근, 오용철 역",한빛미디어,2025년 09월,22000,19800,2130,8,9.8,https://image.yes24.com/goods/154918142/L,https://www.yes24.com/product/goods/154918142
AI를 위한 필수 수학,할라 넬슨/안민재 역,한빛미디어,2024년 08월,45000,40500,2880,12,9.5,https://image.yes24.com/goods/130156635/L,https://www.yes24.com/product/goods/130156635
생성형 AI를 위한 프롬프트 엔지니어링,"제임스 피닉스, 마이크 테일러/정의형, 정한결 역",한빛미디어,2025년 06월,38000,34200,5439,9,10.0,https://image.yes24.com/goods/147735087/L,https://www.yes24.com/product/goods/147735087
현직교사가 만든 가장 쉬운 미리캔버스 수업 활용! MiriCanvas(미리캔버스)로 무엇이든 만들 수 있다,"김동은, 김효민, 박채린, 이희정, 임준열",광문각출판미디어,2025년 12월,21000,21000,1428,27,9.8,https://image.yes24.com/goods/170378306/L,https://www.yes24.com/product/goods/170378306
요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정,"김진관, 김상섭, 이대형, 이상선, 윤신영",한빛미디어,2025년 08월,22000,19800,9156,33,9.9,https://image.yes24.com/goods/151350143/L,https://www.yes24.com/product/goods/151350143
알아서 잘하는 에이전틱 AI 시스템 구축하기,"안자나바 비스와스, 릭 탈루크다르/김모세 역",제이펍,2025년 09월,28000,25200,3048,3,10.0,https://image.yes24.com/goods/151381888/L,https://www.yes24.com/product/goods/151381888
모방하는 기계들의 시대,김태훈,좋은습관연구소,2026년 01월,20000,18000,660,0,0.0,https://image.yes24.com/goods/172734590/L,https://www.yes24.com/product/goods/172734590
린 분석,"앨리스테어 크롤, 벤저민 요스코비츠 공저 / 위선주 역",한빛미디어,2014년 01월,28000,25200,1986,10,9.3,https://image.yes24.com/goods/11775117/L,https://www.yes24.com/product/goods/11775117
핸즈온 머신러닝,오렐리앙 제롱/박해선 역,한빛미디어,2023년 09월,60000,54000,5583,39,9.7,https://image.yes24.com/goods/122338517/L,https://www.yes24.com/product/goods/122338517
AI 영상×미드저니·런웨이·소라·클링·하이루오,안재홍,길벗,2025년 08월,26000,23400,4266,16,9.6,https://image.yes24.com/goods/151152657/L,https://www.yes24.com/product/goods/151152657
